Date,rahadi_oesman,sta2,sta3,sta4,sta5,sta6,sta7
17-Dec-04,1.7,0,38,15,3,6,19
18-Dec-04,0,0,0,0,2,0,2
19-Dec-04,1.4,0,2,7,4,18,14
20-Dec-04,14.9,0,7,10,24,2,0
21-Dec-04,0,0,7,32,5,12,2
22-Dec-04,0,0,2,1,0,13,10
23-Dec-04,40.6,0,2,0,4,0,2
24-Dec-04,18.6,0,2,3,11,2,21
25-Dec-04,26.6,0,3,9,7,2,12
26-Dec-04,1.3,0,5,3,0,3,7
27-Dec-04,-,0,3,0,0,0,1
28-Dec-04,19.6,0,2,0,0,0,1
29-Dec-04,64.6,0,1,0,0,0,0
30-Dec-04,4.4,0,0,0,0,0,0
31-Dec-04,5.1,18,3,1,2,2,3
01-Jan-05,0,4,2,0,0,2,2
02-Jan-05,-,0,0,0,0,0,0
03-Jan-05,0,5,0,0,0,0,0
04-Jan-05,34.8,0,0,0,0,0,0
05-Jan-05,0,0,0,0,0,0,0
06-Jan-05,17.4,0,0,0,0,0,0
07-Jan-05,22.2,0,0,0,0,0,0
08-Jan-05,-,0,0,0,0,0,0
09-Jan-05,14.8,0,0,8,0,0,0
10-Jan-05,0,11,0,0,0,0,0
11-Jan-05,0,0,0,0,0,0,0
12-Jan-05,0,2,0,0,0,0,0
13-Jan-05,5.7,3,0,0,0,0,0
14-Jan-05,0,3,0,0,0,7,22
15-Jan-05,0,0,0,0,0,0,0
16-Jan-05,-,0,8,14,20,0,0
17-Jan-05,0,0,83,18,58,17,0
18-Jan-05,15.8,0,0,4,9,10,0
19-Jan-05,3.2,0,1,13,0,19,27
20-Jan-05,0,0,3,0,24,3,0
21-Jan-05,0,7,8,0,15,14,5
22-Jan-05,0.8,0,10,0,15,25,18
23-Jan-05,1.5,0,12,18,1,26,2
24-Jan-05,0,0,4,4,11,0,7
25-Jan-05,1,21,10,41,1,15,7
26-Jan-05,0,15,17,5,9,0,10
27-Jan-05,0,66,4,47,0,8,5
28-Jan-05,0,32,4,15,9,19,0
29-Jan-05,3.6,10,19,109,4,26,26
30-Jan-05,0.3,6,7,10,1,24,6
31-Jan-05,0,6,24,9,12,6,5
01-Feb-05,0,3,12,17,4,28,9
02-Feb-05,0,0,1,0,0,0,2
03-Feb-05,0,2,1,0,0,0,4
04-Feb-05,0,0,1,3,2,3,0
05-Feb-05,0,0,2,0,0,0,3
06-Feb-05,0,0,1,0,2,0,0
07-Feb-05,0,0,2,0,3,0,1
08-Feb-05,0,4,4,3,0,1,4
09-Feb-05,0,1,2,0,8,3,0
10-Feb-05,1.9,0,6,4,2,7,2
11-Feb-05,10,5,1,1,0,0,1
12-Feb-05,58.4,1,2,0,0,0,1
13-Feb-05,2.3,1,2,0,4,0,2
14-Feb-05,2.8,11,4,7,4,3,5
15-Feb-05,17.9,5,3,2,0,5,1
16-Feb-05,12.8,0,2,0,2,2,0
17-Feb-05,0,0,3,1,2,0,1
18-Feb-05,29.2,0,2,1,0,0,6
19-Feb-05,20.2,0,1,0,3,0,1
