"","Date","rahadi_oesman","sta2","sta3","sta4","sta5","sta6","sta7"
"174",2004-06-22,0,1,0,"3",0,5,0
"175",2004-06-23,0,0,0,"0",0,0,1
"176",2004-06-24,0,0,0,"0",0,0,0
"177",2004-06-25,0,0,0,"0",0,0,0
"178",2004-06-26,0,0,0,"0",0,0,0
"179",2004-06-27,0.2,6,0,"0",6,0,0
"180",2004-06-28,0,0,3,"37",0,8,3
"181",2004-06-29,0,10,7,"0",22,0,0
"182",2004-06-30,0,0,0,"0",35,1,0
"183",2004-07-01,6,0,14,"23",0,30,12
"184",2004-07-02,0,0,0,"0",0,0,0
"185",2004-07-03,0,0,0,"0",0,0,0
"186",2004-07-04,1,0,0,"0",0,0,0
"187",2004-07-05,4.6,4,0,"0",0,0,0
"188",2004-07-06,4.4,0,0,"0",0,0,3
"189",2004-07-07,17.5,0,0,"0",0,0,1
"190",2004-07-08,7.1,0,0,"0",0,0,0
"191",2004-07-09,0,0,0,"0",0,0,0
"192",2004-07-10,0,0,0,"0",0,0,0
"193",2004-07-11,7.8,0,0,"0",0,0,0
"194",2004-07-12,NA,0,0,"0",0,0,0
"195",2004-07-13,0,0,0,"0",0,0,0
"196",2004-07-14,10.4,0,0,"0",0,0,0
"197",2004-07-15,0,0,0,"0",0,0,0
"198",2004-07-16,0,0,0,"0",0,0,0
"199",2004-07-17,10.9,0,0,"0",0,0,0
"200",2004-07-18,0,0,0,"0",0,0,0
"201",2004-07-19,0,0,0,"0",0,0,0
"202",2004-07-20,5.8,0,0,"0",0,0,0
"203",2004-07-21,82.1,0,0,"0",0,0,0
"204",2004-07-22,NA,0,0,"0",0,0,0
"205",2004-07-23,0,0,0,"0",0,0,0
"206",2004-07-24,0.4,0,0,"0",0,0,0
"207",2004-07-25,NA,0,0,"0",0,0,0
"208",2004-07-26,0,0,0,"0",0,0,0
"209",2004-07-27,0,0,0,"0",0,0,0
"210",2004-07-28,0,0,0,"0",0,0,0
"211",2004-07-29,4.2,0,0,"0",0,0,0
"212",2004-07-30,3.4,0,0,"0",0,0,0
"213",2004-07-31,0,0,0,"0",0,0,0
"214",2004-08-01,0,0,0,"0",0,0,0
"215",2004-08-02,0,0,0,"0",0,0,0
"216",2004-08-03,0,0,0,"0",0,0,0
"217",2004-08-04,0,0,0,"0",0,0,4
"218",2004-08-05,0,0,0,"0",0,0,0
"219",2004-08-06,0,0,0,"0",0,0,0
"220",2004-08-07,0,0,0,"0",0,0,0
"221",2004-08-08,0,0,0,"0",0,0,0
"222",2004-08-09,0,0,0,"0",0,0,0
"223",2004-08-10,0,0,0,"0",0,0,0
"224",2004-08-11,0,0,0,"0",0,0,0
"225",2004-08-12,0,0,0,"0",0,0,0
"226",2004-08-13,0,0,0,"0",0,0,0
"227",2004-08-14,0,0,0,"0",0,0,0
"228",2004-08-15,0,0,0,"0",0,0,0
"229",2004-08-16,0,0,0,"0",0,0,0
"230",2004-08-17,0,0,0,"0",0,0,0
"231",2004-08-18,0,0,0,"0",0,0,0
"232",2004-08-19,0,0,0,"0",0,0,0
"233",2004-08-20,0,0,0,"0",0,0,0
"234",2004-08-21,0,0,0,"0",0,0,0
"235",2004-08-22,0,0,0,"0",0,0,2
"236",2004-08-23,0,0,0,"0",0,0,0
"237",2004-08-24,0,0,0,"0",0,0,1
"238",2004-08-25,0,0,0,"0",0,0,0
"239",2004-08-26,0,0,0,"0",0,0,0
"240",2004-08-27,0,0,0,"0",0,0,0
"241",2004-08-28,0,0,0,"0",0,0,0
"242",2004-08-29,0,0,0,"0",0,0,0
"243",2004-08-30,0,0,0,"0",0,0,0
"244",2004-08-31,0,0,0,"0",0,0,0
"245",2004-09-01,0,0,0,"0",0,0,0
"246",2004-09-02,0,0,0,"0",0,0,0
"247",2004-09-03,0,0,0,"0",0,0,0
"248",2004-09-04,0,0,0,"0",0,0,0
"249",2004-09-05,11.5,0,0,"0",0,0,0
"250",2004-09-06,0,0,0,"0",0,0,0
"251",2004-09-07,0,0,0,"0",0,0,0
"252",2004-09-08,0,0,0,"0",0,0,0
"253",2004-09-09,29.3,0,0,"0",0,0,0
"254",2004-09-10,0,0,0,"0",0,0,0
"255",2004-09-11,0,0,0,"0",0,0,0
"256",2004-09-12,0,0,0,"0",0,0,0
"257",2004-09-13,1.2,0,0,"0",0,0,0
"258",2004-09-14,0,0,0,"0",0,0,5
"259",2004-09-15,51.1,0,0,"0",0,0,2
"260",2004-09-16,10.6,0,0,"0",0,0,4
"261",2004-09-17,2.7,0,0,"0",0,0,15
"262",2004-09-18,0,0,0,"0",0,0,0
"263",2004-09-19,0,0,0,"0",0,0,0
"264",2004-09-20,10.1,0,0,"0",0,0,0
"265",2004-09-21,0,0,0,"0",0,0,0
"266",2004-09-22,0,0,0,"0",0,0,1
"267",2004-09-23,0,0,0,"0",0,0,0
"268",2004-09-24,0,0,0,"0",0,0,11
"269",2004-09-25,0,0,0,"0",0,0,0
"270",2004-09-26,0,0,0,"0",0,0,0
"271",2004-09-27,0,0,0,"0",0,0,0
"272",2004-09-28,0.6,0,0,"0",0,0,16
"273",2004-09-29,4.1,0,0,"0",0,0,16
"274",2004-09-30,28,0,0,"0",0,0,0
"275",2004-10-01,37.4,0,0,"0",0,0,0
"276",2004-10-02,0,0,0,"0",0,0,0
"277",2004-10-03,0,0,0,"0",0,0,0
"278",2004-10-04,0,0,0,"0",0,0,0
"279",2004-10-05,0,0,0,"0",0,0,0
"280",2004-10-06,0,0,0,"0",0,0,7
"281",2004-10-07,0,0,0,"0",0,0,11
"282",2004-10-08,0,0,0,"0",12,0,4
"283",2004-10-09,0,0,0,"10",11,0,31
"284",2004-10-10,0,0,0,"0",0,0,0
"285",2004-10-11,0.1,0,21,"0",0,0,2
"286",2004-10-12,23.9,0,0,"0",0,0,0
"287",2004-10-13,0,0,0,"2",0,0,9
"288",2004-10-14,0,0,0,"0",0,0,0
"289",2004-10-15,0,0,0,"2",0,0,0
"290",2004-10-16,0,0,0,"0",0,0,0
"291",2004-10-17,0,0,0,"0",0,0,0
"292",2004-10-18,0,0,10,"0",6,0,0
"293",2004-10-19,28.5,0,0,"0",0,0,27
"294",2004-10-20,2.5,0,0,"0",0,0,3
"295",2004-10-21,54.2,0,0,"0",0,0,0
"296",2004-10-22,23.2,0,0,"0",10,0,0
"297",2004-10-23,0,0,37,"15",54,14,47
"298",2004-10-24,15,0,2,"4",0,23,1
"299",2004-10-25,4,0,0,"0",0,0,0
"300",2004-10-26,18.3,0,0,"0",2,0,1
"301",2004-10-27,8.8,0,0,"0",10,0,1
"302",2004-10-28,1.4,0,0,"0",48,0,7
"303",2004-10-29,29.3,0,61,"30",30,67,52
"304",2004-10-30,9.4,0,33,"21",33,9,35
"305",2004-10-31,0.4,15,15,"7",11,8,7
"306",2004-11-01,1.5,90,23,"18",1,13,3
"307",2004-11-02,12.5,24,73,"0",4,2,15
"308",2004-11-03,16.8,0,7,"16",4,4,22
"309",2004-11-04,0,27,10,"7",6,4,0
"310",2004-11-05,0,39,10,"3",24,11,9
"311",2004-11-06,21,0,40,"71",0,47,59
"312",2004-11-07,26.6,25,1,"0",0,0,23
"313",2004-11-08,34.7,25,5,"11",25,1,3
"314",2004-11-09,NA,50,35,"5",12,13,94
"315",2004-11-10,6.6,0,20,"41",1,9,22
"316",2004-11-11,0,6,1,"2",0,7,36
"317",2004-11-12,4.9,3,0,"2",1,3,3
"318",2004-11-13,37.4,24,12,"3",3,0,36
"319",2004-11-14,3.3,5,27,"3",21,12,9
"320",2004-11-15,106.4,2,1,"1",2,15,1
"321",2004-11-16,1.5,0,8,"4",25,7,31
"322",2004-11-17,4.4,0,0,"0",0,0,5
"323",2004-11-18,59.2,0,0,"0",2,0,0
"324",2004-11-19,0,0,0,"0",11,2,0
"325",2004-11-20,74.8,13,0,"0",0,28,1
"326",2004-11-21,76.5,11,0,"0",10,0,6
"327",2004-11-22,8.7,0,0,"0",0,12,0
"328",2004-11-23,15.2,0,0,"0",3,0,0
"329",2004-11-24,0.4,0,0,"0",0,0,0
"330",2004-11-25,9.8,17,0,"0",50,35,0
"331",2004-11-26,0.2,0,22,"4",13,5,16
"332",2004-11-27,0,2,0,"0",30,0,0
"333",2004-11-28,7.4,9,13,"0",13,0,0
"334",2004-11-29,26.9,34,0,"18",0,0,5
